Ingredient	red	orange	yellow	green_light	green_dark	purple	has_cat	egg_substitute	mayo_vegan	milk_substitute	cheese_substitute	sour_cream_substitute	yogurt_substitute	chicken_substitute	meat_substitute	sausage_substitute	mushrooms	yeast	grain_flour	wheat_flour	cornmeal	grains	wheat	oats	corn	rice	gluten	pasta	noodles	rice_noodles	artichoke	mustard	avocado	sesame_paste	seeds	nuts	almonds	coconut	peanuts	banana_blossom	olives	capers	sesame_oil	olive oil	margarine	oil	pesto	pepper_spice	curry	smoke	spices_misc	spices_warm	vanilla	coffee	chocolate	tea	legume_tuber_flour	bean_thread_noodles	okra	green_beans	pea_pods	tofu	miso	soybeans	beans	lentils	chickpeas	peas	mung_beans	tapioca	water_chestnuts	tubers	horseradish	ginger	fennel	carrots	beets	palm_hearts	bamboo	sweet_potatoes_yams	potatoes	garlic	leeks_green_onions	onions_shallots	sprouts	rhubarb	greens	spinach	chicory	lettuce	kale	broccoli	cauliflower	cabbage	asparagus	seaweed	clover_blossoms	vegetable_stock	herbs	celery	tomatoes	eggplants	bell_peppers	chili_pepper	cajun_spice	squashes_gourds	plantains_bananas	melons	cucumbers	dates	figs	raisins	cranberries	strawberries	berries_pomegranate	grapes	tropical_fruits	mangoes	pineapple	persimmons	peaches	plums_apricots	cherries	pears	apples	citrus	vinegar	soy_sauce	worcestershire_sauce	fruit_vinegar	cider	wine_vinegar	wine	beer	alcohol_liqueur	pectin_agar-agar	sugar	raw_sugar	maple_syrup	syrups	molasses	sugar
green tomatoes				y			TRUE																																																																																														y																																									
green zucchini				y			TRUE																																																																																																			y																																				
greens					y		TRUE																																																																																y																																																							
grey poupon dijon mustard							TRUE																									y																																																																																																														
ground allspice							TRUE																																													y																																																																																										
ground almonds							TRUE																														y																																																																																																									
ground aniseed							TRUE																												y																																																																																																											
ground basil							TRUE																																																																																												y																																											
ground black pepper							TRUE																																									y																																																																																														
ground caraway							TRUE																												y																																																																																																											
ground cardamom							TRUE																																													y																																																																																										
ground cayenne pepper							TRUE																																																																																																	y																																						
ground celery seed							TRUE																												y																																																																																																											
ground chipotle chile pepper							TRUE																																																																																																	y																																						
ground cilantro							TRUE																																																																																												y																																											
ground cinnamon							TRUE																																													y																																																																																										
ground cloves							TRUE																																													y																																																																																										
ground coriander							TRUE																																												y																																																																																											
ground cumin							TRUE																																												y																																																																																											
ground fennel							TRUE																																																																																												y																																											
ground fenugreek							TRUE																																																																																												y																																											
ground flax seed							TRUE																												y																																																																																																											
ground flax seeds							TRUE																												y																																																																																																											
ground ginger							TRUE																																																																			y																																																																				
ground mace							TRUE																																													y																																																																																										
ground marjoram							TRUE																																																																																												y																																											
ground meat substitute							TRUE								y																																																																																																																															
ground mixed spice							TRUE																																												y																																																																																											
ground mustard							TRUE																									y																																																																																																														
ground nutmeg							TRUE																																													y																																																																																										
ground oregano							TRUE																																																																																												y																																											
ground paprika							TRUE																																																																																																	y																																						
ground pepper							TRUE																																									y																																																																																														
ground red chili pepper							TRUE																																																																																																	y																																						
ground red pepper							TRUE																																																																																																	y																																						
ground rosemary							TRUE																																																																																												y																																											
ground sage							TRUE																																																																																												y																																											
ground sumac							TRUE																																												y																																																																																											
ground thyme							TRUE																																																																																												y																																											
ground turmeric							TRUE																																												y																																																																																											
ground walnuts							TRUE																													y																																																																																																										
ground wattleseed							TRUE																												y																																																																																																											
guacamole				y			TRUE																										y																																																																																																													
guar gum							FALSE																																																																																																																																							
guavas	y						TRUE																																																																																																														y																									
habanero		y					TRUE																																																																																																	y																																						
habanero pepper		y					TRUE																																																																																																	y																																						
habanero peppers		y					TRUE																																																																																																	y																																						
habanero sauce							TRUE																																																																																																	y																																						
habaneros		y					TRUE																																																																																																	y																																						
hamburger bun							FALSE																																																																																																																																							
hamburger buns							FALSE																																																																																																																																							
hard rolls							FALSE																																																																																																																																							
harissa	y						TRUE																																																																																																	y																																						
hass avocado				y			TRUE																										y																																																																																																													
hass avocadoes				y			TRUE																										y																																																																																																													
hazelnut extract							FALSE																																																																																																																																							
hazelnuts							TRUE																													y																																																																																																										
head cauliflower							TRUE																																																																																						y																																																	
head of broccoli					y		TRUE																																																																																					y																																																		
head of cabbage				y			TRUE																																																																																							y																																																
head of garlic							TRUE																																																																											y																																																												
head white cabbage							TRUE																																																																																							y																																																
heads of garlic							TRUE																																																																											y																																																												
hearts of palm							TRUE																																																																							y																																																																
heinz ketchup							FALSE																																																																																																																																							
heirloom tomatoes	y	y	y	y			TRUE																																																																																														y																																									
herb tofu							TRUE																																																							y																																					y																																											
herbes de provence							TRUE																																																																																												y																																											
herb-flavored vinegar							TRUE																																																																																												y																												y															
herbs							TRUE																																																																																												y																																											
hing							FALSE																																																																																																																																							
hoagie roll							FALSE																																																																																																																																							
hoagie rolls							FALSE																																																																																																																																							
hoisin sauce							FALSE																																																																																																																																							
hokkaido squash		y					TRUE																																																																																																			y																																				
homemade vegetable stock							TRUE																																																																																											y																																												
honeydew melon				y			TRUE																																																																																																					y																																		
honeydews				y			TRUE																																																																																																					y																																		
horseradish							TRUE																																																																		y																																																																					
horseradish root							TRUE																																																																		y																																																																					
hot chili oil							TRUE																																							y																																																										y																																						
hot chili paste							TRUE																																																																																																	y																																						
hot chili pepper	y						TRUE																																																																																																	y																																						
hot chili peppers	y						TRUE																																																																																																	y																																						
hot chili powder							TRUE																																																																																																	y																																						
hot chili sauce							TRUE																																																																																																	y																																						
hot green chili pepper					y		TRUE																																																																																																	y																																						
hot mustard							TRUE																									y																																																																																																														
hot paprika	y						TRUE																																																																																																	y																																						
hot pepper	y						TRUE																																																																																																	y																																						
hot pepper flakes							TRUE																																																																																																	y																																						
hot pepper sauce							TRUE																																																																																																	y																																						
hot pepper sesame oil							TRUE																																				y																																																																																																			
hot peppers	y						TRUE																																																																																																	y																																						
hot red chili pepper	y						TRUE																																																																																																	y																																						
hot red pepper	y						TRUE																																																																																																	y																																						
hot red pepper flakes							TRUE																																																																																																	y																																						
hot red pepper sauce							TRUE																																																																																																	y																																						
hot red peppers	y						TRUE																																																																																																	y																																						
hot sauce							FALSE																																																																																																																																							
hot smoked paprika							TRUE																																											y																																																						y																																						
hot water							FALSE																																																																																																																																							
hummus							TRUE																																																												y																																																																											
hungarian paprika							TRUE																																																																																																	y																																						
i cant believe its not butter spread							TRUE																																						y																																																																																																	
ice cube							FALSE																																																																																																																																							
ice water							FALSE																																																																																																																																							
iceberg lettuce				y			TRUE																																																																																			y																																																				
iceberg lettuce leaves				y			TRUE																																																																																			y																																																				
idaho potato							TRUE																																																																										y																																																													
idaho potatoes							TRUE																																																																										y																																																													
imitation bacon							TRUE																																											y																																																																																												
instant brown rice							TRUE																			y																																																																																																																				
instant coffee							TRUE																																															y																																																																																								
instant coffee granules							TRUE																																															y																																																																																								
instant coffee powder							TRUE																																															y																																																																																								
instant couscous							TRUE																y																																																																																																																							
instant mashed potatoes							TRUE																																																																										y																																																													
instant oats							TRUE																	y																																																																																																																						
instant rice							TRUE																			y																																																																																																																				
instant yeast							TRUE											y																																																																																																																												
iodized salt							FALSE																																																																																																																																							
israeli couscous							TRUE																y																																																																																																																							
italian bread							FALSE																																																																																																																																							
italian dressing							FALSE																																																																																																																																							
italian herb seasoning							TRUE																																																																																												y																																											
italian parsley							TRUE																																																																																												y																																											
italian plum tomatoes		y					TRUE																																																																																														y																																									
italian salad dressing							FALSE																																																																																																																																							
italian seasoning							TRUE																																																																																												y																																											
italian seasoning mix							TRUE																																																																																												y																																											
italian spices							TRUE																																																																																												y																																											
italian stewed tomatoes	y						TRUE																																																																																														y																																									
italian-style stewed tomatoes	y						TRUE																																																																																														y																																									
italian-style tomato paste	y						TRUE																																																																																														y																																									
italian-style tomatoes		y					TRUE																																																																																														y																																									
jaggery							FALSE																																																																																																																																							
jalapeno					y		TRUE																																																																																																	y																																						
jalapeno chile					y		TRUE																																																																																																	y																																						
jalapeno chiles					y		TRUE																																																																																																	y																																						
jalapeno pepper					y		TRUE																																																																																																	y																																						
jalapeno peppers					y		TRUE																																																																																																	y																																						
jalapenos					y		TRUE																																																																																																	y																																						
japanese cucumbers				y	y		TRUE																																																																																																						y																																	
japanese eggplant						y	TRUE																																																																																															y																																								
japanese eggplants						y	TRUE																																																																																															y																																								
japanese soy sauce							TRUE																																																																																																																									y														
jasmine rice							TRUE																			y																																																																																																																				
jeera powder							FALSE																																																																																																																																							
jerusalem artichokes							TRUE																																																																	y																																																																						
jicama							TRUE																																																																	y																																																																						
juice of key lime							TRUE																																																																																																																							y																
juice of lemon							TRUE																																																																																																																							y																
juice of lime							TRUE																																																																																																																							y																
juice of orange							TRUE																																																																																																																							y																
kabocha squash		y					TRUE																																																																																																			y																																				
kaiser rolls							FALSE																																																																																																																																							
kalamata olives							TRUE																																		y																																																																																																					
kale					y		TRUE																																																																																				y																																																			
kale leaves					y		TRUE																																																																																				y																																																			
kashi							TRUE															y																																																																																																																								
kelp							TRUE																																																																																									y																																														
kelp powder							TRUE																																																																																									y																																														
ketchup							FALSE																																																																																																																																							
ketjap manis							TRUE																																																																																																																									y														
key lime juice							TRUE																																																																																																																							y																
key limes				y			TRUE																																																																																																																							y																
kidney bean							TRUE																																																										y																																																																													
kidney beans							TRUE																																																										y																																																																													
kirby cucumbers				y	y		TRUE																																																																																																						y																																	
kirsch							TRUE																																																																																																																																y							
kiwi fruit				y			TRUE																																																																																																														y																									
kiwi fruits				y			TRUE																																																																																																														y																									
kohlrabi							TRUE																																																																	y																																																																						
kombu seaweed							TRUE																																																																																									y																																														
korean red pepper paste							TRUE																																																																																																	y																																						
kosher salt							FALSE																																																																																																																																							
kosher salt & freshly ground black pepper							TRUE																																									y																																																																																														
kumara		y					TRUE																																																																									y																																																														
kumquat		y					TRUE																																																																																																																							y																
lasagna noodles							TRUE																					y																																																																																																																		
lavash bread							FALSE																																																																																																																																							
lavender							TRUE																																																																																												y																																											
lawrys seasoned salt							FALSE																																																																																																																																							
leaf lettuce					y		TRUE																																																																																			y																																																				
leaf oregano							TRUE																																																																																												y																																											
leafy greens					y		TRUE																																																																																y																																																							
lebanese cucumber				y	y		TRUE																																																																																																						y																																	
leek					y		TRUE																																																																												y																																																											
leeks					y		TRUE																																																																												y																																																											
lemon			y				TRUE																																																																																																																							y																
lemon balm							TRUE																																																																																												y																																											
lemon cucumbers			y				TRUE																																																																																																						y																																	
lemon extract							TRUE																																																																																																																							y																
lemon juice							TRUE																																																																																																																							y																
lemon juice concentrate							TRUE																																																																																																																							y																
lemon pepper							TRUE																																									y																																																																														y																
lemon slice			y				TRUE																																																																																																																							y																
lemon slices			y				TRUE																																																																																																																							y																
lemon wedge			y				TRUE																																																																																																																							y																
lemon wedges			y				TRUE																																																																																																																							y																
lemon zest							TRUE																																																																																																																							y																
lemongrass							TRUE																																																																																																																							y																
lemon-pepper seasoning							TRUE																																									y																																																																																														
lemons			y				TRUE																																																																																																																							y																
lentil sprouts							TRUE																																																																														y																																																									
lentils							TRUE																																																											y																																																																												
lettuce					y		TRUE																																																																																			y																																																				
lettuce cup				y			TRUE																																																																																			y																																																				
lettuce leaf					y		TRUE																																																																																			y																																																				
lettuce leaves					y		TRUE																																																																																			y																																																				
light brown sugar							FALSE																																																																																																																																			y				y
light coconut milk							TRUE			y																																																																																																																																				
light corn syrup							FALSE																																																																																																																																					y		
light margarine							TRUE																																						y																																																																																																	
light margarine spread							TRUE																																						y																																																																																																	
light miso							TRUE																																																								y																																																																															
light muscovado sugar							FALSE																																																																																																																																			y				y
light oil							TRUE																																							y																																																																																																
light olive oil							TRUE																																					y																																																																																																		
light sesame oil							TRUE																																				y																																																																																																			
light soy sauce							TRUE																																																																																																																									y														
lima beans							TRUE																																																										y																																																																													
lime				y			TRUE																																																																																																																							y																
lime juice							TRUE																																																																																																																							y																
lime wedge				y			TRUE																																																																																																																							y																
lime zest							TRUE																																																																																																																							y																
limes				y			TRUE																																																																																																																							y																
limoncello							TRUE																																																																																																																							y									y							
linguine							TRUE																					y																																																																																																																		
linseeds							TRUE																												y																																																																																																											
liquid							FALSE																																																																																																																																							
liquid certo							FALSE																																																																																																																																							
liquid fruit pectin							FALSE																																																																																																																																	y						
liquid pectin							FALSE																																																																																																																																	y						
liquid smoke							TRUE																																											y																																																																																												
liquid smoke flavoring							TRUE																																											y																																																																																												
lite firm tofu							TRUE																																																							y																																																																																
lite olive oil							TRUE																																					y		y																																																																																																
lo mein noodles							TRUE																						y																																																																																																																	
long beans					y		TRUE																																																					y																																																																																		
long-grain brown rice							TRUE																			y																																																																																																																				
long-grain rice							TRUE																			y																																																																																																																				
long-grain white rice							TRUE																			y																																																																																																																				
loquats		y					TRUE																																																																																																																			y																				
low sodium soy sauce							TRUE																																																																																																																									y														
low sodium vegetable broth							TRUE																																																																																											y																																												
low-fat coconut milk							TRUE			y																																																																																																																																				
low-fat cooking spray							FALSE																																																																																																																																							
low-fat corn tortillas							FALSE																																																																																																																																							
low-fat soymilk							TRUE			y																																																																																																																																				
low-sodium black beans							TRUE																																																										y																																																																													
low-sodium chickpeas							TRUE																																																												y																																																																											
low-sodium hot sauce							FALSE																																																																																																																																							
low-sodium kernel corn			y				TRUE																		y																																																																																																																					
low-sodium salsa							FALSE																																																																																																																																							
low-sodium tamari							FALSE																																																																																																																																							
low-sodium tomato sauce	y						TRUE																																																																																														y																																									
lumpia skins							FALSE																																																																																																																																							
lychees							TRUE																																																																																																														y																									
macadamia nut oil							TRUE																																							y																																																																																																
macadamia nuts							TRUE																													y																																																																																																										
macaroni							TRUE																					y																																																																																																																		
mace							TRUE																																													y																																																																																										
madeira wine							TRUE																																																																																																																														y									
madras curry powder							TRUE																																										y																																																																																													
maggi seasoning							FALSE																																																																																																																																							
malt syrup							FALSE																																																																																																																																						y	
malt vinegar							TRUE																																																																																																																								y															
mandarin orange section		y					TRUE																																																																																																																							y																
mandarin orange segments		y					TRUE																																																																																																																							y																
mandarin oranges		y					TRUE																																																																																																																							y																
mandarin oranges in juice		y					TRUE																																																																																																																							y																
mango			y				TRUE																																																																																																															y																								
